,date,open,high,low,close,adjClose,volume
0,2022-08-26,279.08,280.34,267.98,268.09,268.09,27549952.0
1,2022-08-25,277.33,279.02,274.52,278.85,278.85,16584280.0
2,2022-08-24,275.41,277.23,275.11,275.79,275.79,18138451.0
3,2022-08-23,276.44,278.86,275.4,276.44,276.44,17527795.0
4,2022-08-22,282.08,282.46,277.22,277.75,277.75,25046537.0
5,2022-08-19,288.9,289.25,285.56,286.15,286.15,20570571.0
6,2022-08-18,290.189,291.91,289.08,290.17,290.17,17186200.0
7,2022-08-17,289.74,293.35,289.47,291.32,291.32,18254304.0
8,2022-08-16,291.9899902,294.0400085,290.4200134,292.7099915,292.7099915,18102900.0
9,2022-08-15,291.0,294.1799927,290.1099854,293.4700012,293.4700012,18085700.0
10,2022-08-12,288.480011,291.9100037,286.9400024,291.9100037,291.9100037,22601900.0
11,2022-08-11,290.8500061,291.2099915,286.5100098,287.019989,287.019989,20065900.0
12,2022-08-10,288.1700134,289.8099976,286.9400024,289.1600037,289.1600037,24687800.0
13,2022-08-09,279.6400146,283.0799866,277.6099854,282.2999878,282.2999878,23405200.0
14,2022-08-08,284.0499878,285.9200134,279.3200073,280.3200073,280.3200073,18739200.0
15,2022-08-05,279.1499939,283.6499939,278.6799927,282.9100037,282.9100037,16767900.0
16,2022-08-04,281.7999878,283.7999878,280.1700134,283.6499939,283.6499939,18098700.0
17,2022-08-03,276.7600098,283.5,276.6099854,282.4700012,282.4700012,23518900.0
18,2022-08-02,276.0,277.8900146,272.3800049,274.8200073,274.8200073,22754200.0
19,2022-08-01,277.8200073,281.2799988,275.8399963,278.0100098,278.0100098,21539600.0
20,2022-07-29,277.7000122,282.0,276.6300049,280.7399902,280.7399902,32129400.0
21,2022-07-28,269.75,277.8399963,267.8699951,276.4100037,276.4100037,33459300.0
22,2022-07-27,261.1600037,270.0499878,258.8500061,268.7399902,268.7399902,45994000.0
23,2022-07-26,259.8599854,259.8800049,249.5700073,251.8999939,251.8999939,39348000.0
24,2022-07-25,261.0,261.5,256.8099976,258.8299866,258.8299866,21056000.0
25,2022-07-22,265.2399902,265.3299866,259.0700073,260.3599854,260.3599854,21881300.0
26,2022-07-21,259.7900085,264.8900146,257.0299988,264.8399963,264.8399963,22404700.0
27,2022-07-20,259.8999939,264.8699951,258.9100037,262.269989,262.269989,22788300.0
28,2022-07-19,257.5799866,259.7200012,253.6799927,259.5299988,259.5299988,25012600.0
29,2022-07-18,259.75,260.8399963,253.3000031,254.25,254.25,20975000.0
30,2022-07-15,255.7200012,260.3699951,254.7700043,256.7200012,256.7200012,29774100.0
